graph_name,total_depth,mean_depth,relative_asymmetry
51355,17.0,1.8888888888888888,0.2222222222222222
13073,15.0,1.875,0.25
71595,28.0,3.111111111111111,0.5277777777777778
41510,5.0,0.625,-0.10714285714285714
46607,19.0,2.111111111111111,0.2777777777777778
45347,14.0,1.2727272727272727,0.05454545454545454
143851,14.0,1.2727272727272727,0.05454545454545454
51536,8.0,1.1428571428571428,0.047619047619047596
59672,20.0,2.0,0.2222222222222222
13318,17.0,1.5454545454545454,0.10909090909090909
7565,3.0,0.75,-0.16666666666666666
60097,7.0,1.1666666666666667,0.0666666666666667
139607,15.0,2.142857142857143,0.38095238095238093
67846,6.0,1.2,0.09999999999999998
28780,17.0,2.4285714285714284,0.4761904761904761
50490,24.0,2.4,0.3111111111111111
16040,18.0,2.25,0.35714285714285715
16679,0.0,0.0,-0.5
142993,13.0,1.4444444444444444,0.1111111111111111
138819,22.0,2.0,0.2
10677,24.0,2.1818181818181817,0.23636363636363633
10872,17.0,1.8888888888888888,0.2222222222222222
19218,19.0,2.375,0.39285714285714285
92718,17.0,2.4285714285714284,0.4761904761904761
30425,-3.0,-0.3,-0.2888888888888889
9369,14.0,2.3333333333333335,0.5333333333333334
71656,-6.0,-0.6,-0.35555555555555557
108911,22.0,1.8333333333333333,0.1515151515151515
39404,17.0,2.4285714285714284,0.4761904761904761
39315,18.0,2.25,0.35714285714285715
52711,18.0,1.8,0.17777777777777778
106521,29.0,2.0714285714285716,0.16483516483516486
41331,13.0,1.8571428571428572,0.28571428571428575
99295,17.0,1.4166666666666667,0.07575757575757577
100275,19.0,1.9,0.19999999999999998
51389,33.0,3.0,0.4
109539,11.0,1.375,0.10714285714285714
157753,13.0,1.8571428571428572,0.28571428571428575
8863,11.0,1.375,0.10714285714285714
134750,25.0,2.5,0.3333333333333333
34042,13.0,2.1666666666666665,0.4666666666666666
27981,16.0,2.2857142857142856,0.42857142857142855
33099,3.0,0.75,-0.16666666666666666
141626,21.0,1.9090909090909092,0.18181818181818182
30791,10.0,0.9090909090909091,-0.018181818181818188
9426,15.0,1.25,0.045454545454545456
20339,16.0,2.2857142857142856,0.42857142857142855
73704,14.0,1.75,0.21428571428571427
10868,17.0,1.8888888888888888,0.2222222222222222
108750,25.0,1.9230769230769231,0.15384615384615385
55615,-1.0,-0.1,-0.24444444444444446
27169,4.0,0.4,-0.13333333333333333
139679,16.0,2.0,0.2857142857142857
52674,11.0,1.8333333333333333,0.3333333333333333
19662,20.0,1.6666666666666667,0.12121212121212123
7052,18.0,2.25,0.35714285714285715
12846,5.0,1.25,0.16666666666666666
32049,3.0,0.42857142857142855,-0.19047619047619047
15091,22.0,2.75,0.5
66188,9.0,0.9,-0.022222222222222216
56355,21.0,1.9090909090909092,0.18181818181818182
7200,18.0,2.5714285714285716,0.5238095238095238
141881,21.0,1.9090909090909092,0.18181818181818182
14590,22.0,2.2,0.2666666666666667
49652,16.0,2.6666666666666665,0.6666666666666666
57886,17.0,1.8888888888888888,0.2222222222222222
57477,11.0,1.8333333333333333,0.3333333333333333
100642,16.0,2.0,0.2857142857142857
100403,22.0,2.4444444444444446,0.36111111111111116
13300,17.0,1.8888888888888888,0.2222222222222222
46525,29.0,2.4166666666666665,0.25757575757575757
97507,6.0,0.8571428571428571,-0.04761904761904764
42908,29.0,2.230769230769231,0.20512820512820515
95849,17.0,1.8888888888888888,0.2222222222222222
135624,26.0,2.888888888888889,0.4722222222222222
13442,11.0,2.2,0.6000000000000001
33990,13.0,2.1666666666666665,0.4666666666666666
44833,8.0,0.8888888888888888,-0.02777777777777779
39179,17.0,2.125,0.32142857142857145
108804,27.0,2.25,0.22727272727272727
53570,24.0,2.4,0.3111111111111111
67490,12.0,2.0,0.4
93169,10.0,2.0,0.5
20261,15.0,2.142857142857143,0.38095238095238093
9025,13.0,1.8571428571428572,0.28571428571428575
40109,28.0,2.3333333333333335,0.24242424242424246
48728,10.0,1.4285714285714286,0.14285714285714288
55586,20.0,2.5,0.42857142857142855
49246,25.0,2.5,0.3333333333333333
9631,17.0,2.4285714285714284,0.4761904761904761
55836,25.0,2.5,0.3333333333333333
65989,16.0,1.3333333333333333,0.060606060606060594
36307,27.0,2.7,0.3777777777777778
111518,8.0,0.8888888888888888,-0.02777777777777779
101043,15.0,2.142857142857143,0.38095238095238093
39210,18.0,2.25,0.35714285714285715
108250,5.0,0.5555555555555556,-0.1111111111111111
35952,2.0,0.2857142857142857,-0.2380952380952381
23843,20.0,1.8181818181818181,0.16363636363636364
70584,0.0,0.0,-0.2857142857142857
14345,18.0,2.25,0.35714285714285715
43854,27.0,3.0,0.5
142867,14.0,1.5555555555555556,0.1388888888888889
109312,10.0,0.8333333333333334,-0.030303030303030297
97348,14.0,2.3333333333333335,0.5333333333333334
22721,18.0,2.25,0.35714285714285715
60984,16.0,2.6666666666666665,0.6666666666666666
143253,11.0,1.2222222222222223,0.05555555555555558
70150,10.0,1.4285714285714286,0.14285714285714288
43836,22.0,2.75,0.5
8610,20.0,2.0,0.2222222222222222
49697,18.0,2.0,0.25
100451,1.0,0.125,-0.25
68266,10.0,1.4285714285714286,0.14285714285714288
109254,8.0,0.8888888888888888,-0.02777777777777779
97140,8.0,1.6,0.30000000000000004
21396,4.0,0.4444444444444444,-0.1388888888888889
40897,22.0,2.4444444444444446,0.36111111111111116
5299,15.0,2.142857142857143,0.38095238095238093
142362,12.0,1.3333333333333333,0.08333333333333331
19168,7.0,0.7,-0.06666666666666668
143099,17.0,1.8888888888888888,0.2222222222222222
53191,10.0,1.0,0.0
44278,20.0,1.5384615384615385,0.08974358974358976
108142,25.0,1.9230769230769231,0.15384615384615385
42394,10.0,1.6666666666666667,0.2666666666666667
50847,10.0,1.1111111111111112,0.02777777777777779
13308,17.0,1.7,0.15555555555555556
32350,6.0,2.0,1.0
36188,6.0,0.8571428571428571,-0.04761904761904764
140809,13.0,1.1818181818181819,0.036363636363636376
95060,21.0,2.1,0.24444444444444446
106780,27.0,2.4545454545454546,0.2909090909090909
55584,22.0,2.75,0.5
28100,17.0,1.8888888888888888,0.2222222222222222
29127,19.0,1.3571428571428572,0.05494505494505496
107953,15.0,1.3636363636363635,0.07272727272727271
30135,13.0,2.1666666666666665,0.4666666666666666
95464,9.0,1.0,0.0
13882,10.0,1.4285714285714286,0.14285714285714288
13142,15.0,2.142857142857143,0.38095238095238093
8836,6.0,0.8571428571428571,-0.04761904761904764
25394,22.0,2.2,0.2666666666666667
